from_postcode,to_postcode,from_lat,from_long,to_lat,to_long,from_loc_identified,to_loc_identified,route_locs_identified,time_min,distance_km,imputed,no_route
E01005978, M139WL,53.44799952,-2.094682892,53.46243503,-2.22771102, True, True, True,12,12.3,0,0
E01019738, M139WL,53.44204367,-1.958154532,53.46243503,-2.22771102, True, True, True,20,20.7,0,0
E01018665, M139WL,53.350776,-2.135929,53.46243503,-2.22771102, True, True, True,17,18.4,0,0
E01005843, M139WL,53.39272638,-2.108348951,53.46243503,-2.22771102, True, True, True,15,13.3,0,0
E01005220, M139WL,53.44543991,-2.184891594,53.46243503,-2.22771102, True, True, True,6,4.5,0,0
E01004901, M139WL,53.5545443,-2.513206875,53.46243503,-2.22771102, True, True, True,21,27.5,0,0
E01004886, M139WL,53.58871105,-2.529286757,53.46243503,-2.22771102, True, True, True,22,32.3,0,0
E01004845, M139WL,53.57937959,-2.462457928,53.46243503,-2.22771102, True, True, True,22,27.7,0,0
E01005203, M139WL,53.50679264,-2.218299322,53.46243503,-2.22771102, True, True, True,9,6.7,0,0
E01005791, M139WL,53.36571025,-2.191293184,53.46243503,-2.22771102, True, True, True,14,14.7,0,0
E01019721, M139WL,53.31741433,-1.918332274,53.46243503,-2.22771102, True, True, True,33,35.8,0,0
E01018667, M139WL,53.30090149,-2.151315,53.46243503,-2.22771102, True, True, True,23,25.1,0,0
E01005916, M139WL,53.42114371,-2.166759444,53.46243503,-2.22771102, True, True, True,9,7.6,0,0
E01005600, M139WL,53.47961171,-2.344187895,53.46243503,-2.22771102, True, True, True,10,10,0,0
E01006377, M139WL,53.51338982,-2.454590823,53.46243503,-2.22771102, True, True, True,18,19.3,0,0
E01005680, M139WL,53.49187172,-2.290132443,53.46243503,-2.22771102, True, True, True,9,7.5,0,0
E01005950, M139WL,53.48609,-2.10830096,53.46243503,-2.22771102, True, True, True,13,12.4,0,0
E01018400, M139WL,53.16550343,-2.202052574,53.46243503,-2.22771102, True, True, True,33,38.8,0,0
E01004860, M139WL,53.54535929,-2.402626862,53.46243503,-2.22771102, True, True, True,16,20.9,0,0
E01005848, M139WL,53.36596388,-2.216435815,53.46243503,-2.22771102, True, True, True,13,12.4,0,0
E01019766, M139WL,53.3454235,-1.991203662,53.46243503,-2.22771102, True, True, True,28,23.8,0,0
E01006241, M139WL,53.53372468,-2.498908732,53.46243503,-2.22771102, True, True, True,22,28.4,0,0
E01004895, M139WL,53.54382747,-2.517981702,53.46243503,-2.22771102, True, True, True,22,28.4,0,0
E01005619, M139WL,53.42126292,-2.443540312,53.46243503,-2.22771102, True, True, True,18,22.1,0,0
E01005031, M139WL,53.52124142,-2.291977266,53.46243503,-2.22771102, True, True, True,12,10.8,0,0
E01005941, M139WL,53.4908814,-2.085494353,53.46243503,-2.22771102, True, True, True,14,13.6,0,0
E01006192, M139WL,53.39516899,-2.32652767,53.46243503,-2.22771102, True, True, True,16,15.2,0,0
E01005097, M139WL,53.48756837,-2.179333057,53.46243503,-2.22771102, True, True, True,8,6.1,0,0
E01006392, M139WL,53.54771913,-2.616551693,53.46243503,-2.22771102, True, True, True,28,37.1,0,0
E01005140, M139WL,53.52230337,-2.220068453,53.46243503,-2.22771102, True, True, True,11,8.7,0,0
E01005885, M139WL,53.3956761,-2.062204372,53.46243503,-2.22771102, True, True, True,19,18.4,0,0
E01005199, M139WL,53.44799897,-2.186604132,53.46243503,-2.22771102, True, True, True,5,4.1,0,0
E01005234, M139WL,53.45411223,-2.197111952,53.46243503,-2.22771102, True, True, True,4,3,0,0
E01006167, M139WL,53.41724408,-2.355163748,53.46243503,-2.22771102, True, True, True,17,13.7,0,0
E01005536, M139WL,53.55762364,-2.191056983,53.46243503,-2.22771102, True, True, True,16,12.9,0,0
E01005887, M139WL,53.44684178,-2.166830115,53.46243503,-2.22771102, True, True, True,8,6,0,0
